Task ID,Supplier ID,Cost
30/05/2019,S57,0.290967292
30/05/2019,S40,0.293925416
30/05/2019,S24,0.2963877
30/05/2019,S56,0.302213243
30/05/2019,S32,0.30239373
30/05/2019,S7,0.303812759
30/05/2019,S4,0.307330783
30/05/2019,S15,0.307691824
30/05/2019,S47,0.309031462
30/05/2019,S13,0.309402542
30/05/2019,S12,0.313509448
30/05/2019,S34,0.313587125
30/05/2019,S29,0.313858096
30/05/2019,S41,0.314410173
30/05/2019,S54,0.315261793
30/05/2019,S19,0.316254226
30/05/2019,S27,0.317432209
30/05/2019,S14,0.320663187
30/05/2019,S46,0.320763314
30/05/2019,S49,0.323564526
26/09/2019,S19,0.283751545
26/09/2019,S30,0.28504317
26/09/2019,S14,0.28917233
26/09/2019,S57,0.292822944
26/09/2019,S49,0.293406062
26/09/2019,S62,0.293596418
26/09/2019,S43,0.294285788
26/09/2019,S4,0.297319669
26/09/2019,S59,0.29847631
26/09/2019,S8,0.299798408
26/09/2019,S32,0.299922861
26/09/2019,S38,0.301205131
26/09/2019,S6,0.304175263
26/09/2019,S40,0.30630658
26/09/2019,S37,0.306547939
26/09/2019,S44,0.306874993
26/09/2019,S18,0.307165426
26/09/2019,S35,0.307173978
26/09/2019,S61,0.307214421
26/09/2019,S9,0.307370479
29/11/2019,S46,0.28457495
29/11/2019,S40,0.298487824
29/11/2019,S39,0.301013685
29/11/2019,S51,0.301494177
29/11/2019,S60,0.302832256
29/11/2019,S12,0.302904668
29/11/2019,S47,0.304856613
29/11/2019,S13,0.305388131
29/11/2019,S6,0.305571215
29/11/2019,S56,0.308773637
29/11/2019,S11,0.309193588
29/11/2019,S37,0.312683605
29/11/2019,S15,0.313399313
29/11/2019,S54,0.314623731
29/11/2019,S24,0.314701058
29/11/2019,S53,0.315717063
29/11/2019,S19,0.323826983
29/11/2019,S30,0.326435011
29/11/2019,S22,0.326542586
29/11/2019,S42,0.32656836
03/01/2020,S18,0.355652466
03/01/2020,S56,0.35634929
03/01/2020,S47,0.357635233
03/01/2020,S27,0.367182293
03/01/2020,S34,0.367398023
03/01/2020,S51,0.369637896
03/01/2020,S15,0.371570933
03/01/2020,S10,0.372398882
03/01/2020,S46,0.372400011
03/01/2020,S60,0.37469402
03/01/2020,S29,0.375172972
03/01/2020,S53,0.376690968
03/01/2020,S11,0.378138028
